Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
neuro_evaluated_name,neuro_epa,,text,被評核學員姓名,,,,,,,,y,,,,,@CHARLIMIT=50 @READONLY
neuro_evaluated_type,neuro_epa,,dropdown,被評核學員類別,"1, 醫學生 | 2, PGY醫師 | 3, 住院醫師 | 4, 專科護理師",,,,,,,,,,,,@HIDDEN-SURVEY
neuro_trainee_type,neuro_epa,,dropdown,受評者類型,"1, 醫學生 | 2, PGY醫師 | 3, 住院醫師 | 4, 專科護理師",,,,,,,,,,,,@HIDDEN-SURVEY
neuro_trainee_name,neuro_epa,,text,受評者姓名,,,,,,,,,,,,,@HIDDEN-SURVEY
neuro_dept,neuro_epa,,text,評核科別,,預設：神經科,,,,,,,,,,,@DEFAULT='神經科' @READONLY @HIDDEN-SURVEY
neuro_section_epa,neuro_epa,EPA評估項目,descriptive,評分標準說明: Level 1 新手 - 僅能觀察他人執行需督導引導; Level 2 進階初學者 - 可在直接監督下執行; Level 3 勝任 - 可獨立執行但需回報; Level 4 精通 - 可獨立執行監督者隨時可得; Level 5 專家 - 可獨立執行並指導他人,,,,,,,,,,,,,
epa_neuro_epa_1,neuro_epa,,dropdown,EPA 1: 神經學病史詢問與神經學檢查,"1, Level 1 - 能識別基本症狀知基本檢查 | 2, Level 2 - 能執行標準流程基本評估治療 | 3, Level 3 - 能獨立診斷處理制定治療計畫 | 4, Level 4 - 能處理複雜情況整合多因素決策 | 5, Level 5 - 成為專家教導複雜個案建立流程 | 0, 未評估",核心能力: 意識狀態語言認知/顱神經運動感覺反射步態/GCS NIHSS評估,,,,,,y,,,,,
epa_neuro_epa_2,neuro_epa,,dropdown,EPA 2: 腦血管疾病診斷與處理,"1, Level 1 - 能識別基本症狀知基本檢查 | 2, Level 2 - 能執行標準流程基本評估治療 | 3, Level 3 - 能獨立診斷處理制定治療計畫 | 4, Level 4 - 能處理複雜情況整合多因素決策 | 5, Level 5 - 成為專家教導複雜個案建立流程 | 0, 未評估",核心能力: 缺血性中風TIA出血性中風/NIHSS CHA2DS2-VASc/CT MRI CTA MRA/tPA取栓抗血小板抗凝/危險因子控制復健,,,,,,y,,,,,
epa_neuro_epa_3,neuro_epa,,dropdown,EPA 3: 癲癇診斷與治療,"1, Level 1 - 能識別基本症狀知基本檢查 | 2, Level 2 - 能執行標準流程基本評估治療 | 3, Level 3 - 能獨立診斷處理制定治療計畫 | 4, Level 4 - 能處理複雜情況整合多因素決策 | 5, Level 5 - 成為專家教導複雜個案建立流程 | 0, 未評估",核心能力: 發作型態分類/EEG判讀/抗癲癇藥物選擇劑量/癲癇重積處理/懷孕用藥調整,,,,,,y,,,,,
epa_neuro_epa_4,neuro_epa,,dropdown,EPA 4: 頭痛與眩暈評估,"1, Level 1 - 能識別基本症狀知基本檢查 | 2, Level 2 - 能執行標準流程基本評估治療 | 3, Level 3 - 能獨立診斷處理制定治療計畫 | 4, Level 4 - 能處理複雜情況整合多因素決策 | 5, Level 5 - 成為專家教導複雜個案建立流程 | 0, 未評估",核心能力: 偏頭痛叢發緊縮型/紅旗症狀排除/急性預防用藥/周邊中樞性眩暈/BPPV處置,,,,,,y,,,,,
epa_neuro_epa_5,neuro_epa,,dropdown,EPA 5: 意識障礙與昏迷評估,"1, Level 1 - 能識別基本症狀知基本檢查 | 2, Level 2 - 能執行標準流程基本評估治療 | 3, Level 3 - 能獨立診斷處理制定治療計畫 | 4, Level 4 - 能處理複雜情況整合多因素決策 | 5, Level 5 - 成為專家教導複雜個案建立流程 | 0, 未評估",核心能力: GCS評估腦幹反射/代謝中毒腦病變鑑別/CT MRI EEG/腦壓監測/預後評估,,,,,,y,,,,,
epa_neuro_epa_6,neuro_epa,,dropdown,EPA 6: 腰椎穿刺術與腦脊髓液分析,"1, Level 1 - 能識別基本症狀知基本檢查 | 2, Level 2 - 能執行標準流程基本評估治療 | 3, Level 3 - 能獨立診斷處理制定治療計畫 | 4, Level 4 - 能處理複雜情況整合多因素決策 | 5, Level 5 - 成為專家教導複雜個案建立流程 | 0, 未評估",核心能力: 禁忌症評估影像檢查/腰椎穿刺技術/壓力測量/細胞蛋白糖生化/感染出血腫瘤鑑別,,,,,,y,,,,,
epa_neuro_epa_7,neuro_epa,,dropdown,EPA 7: 神經影像判讀CT MRI,"1, Level 1 - 能識別基本症狀知基本檢查 | 2, Level 2 - 能執行標準流程基本評估治療 | 3, Level 3 - 能獨立診斷處理制定治療計畫 | 4, Level 4 - 能處理複雜情況整合多因素決策 | 5, Level 5 - 成為專家教導複雜個案建立流程 | 0, 未評估",核心能力: 急性中風出血腫瘤/白質病變/血管影像CTA MRA/DWI FLAIR T1 T2序列,,,,,,y,,,,,
neuro_section_comments,neuro_epa,整體評語,descriptive,請針對此次評核提供整體質性回饋: 優點與具體表現/需改進之處與學習建議/是否建議進入下階段訓練。提示: 您可使用手機語音輸入功能,,,,,,,,,,,,,
neuro_overall_comments,neuro_epa,,notes,整體質性評語,,建議使用語音輸入功能,,,,,,,,,,, @MAXCHOICE=10000
neuro_strengths,neuro_epa,,notes,優點與具體表現,,,,,,,,,,,,, @MAXCHOICE=3000
neuro_areas_improvement,neuro_epa,,notes,需改進之處與學習建議,,,,,,,,,,,,, @MAXCHOICE=3000
neuro_recommendation,neuro_epa,,dropdown,是否建議進入下階段訓練,"1, 是-可進入下階段 | 2, 尚可-需持續觀察 | 3, 保留-需加強訓練",,,,,,,y,,,,,
uuid_10,neuro_epa,,text,UUID,,,,,,,,,,,,, @MC-TASK-UUID @HIDDEN-SURVEY
startdate_10,neuro_epa,,text,Start Date,,,,,,,,,,,,, @MC-TASK-STARTDATE @HIDDEN-SURVEY
enddate_10,neuro_epa,,text,End Date,,,,,,,,,,,,, @MC-TASK-ENDDATE @HIDDEN-SURVEY
scheduledate_10,neuro_epa,,text,Schedule Date,,,,,,,,,,,,, @MC-TASK-SCHEDULEDATE @HIDDEN-SURVEY
status_10,neuro_epa,,dropdown,Status,"0, Deleted | 1, Completed | 2, Incomplete",,,,,,,,,,,, @MC-TASK-STATUS @HIDDEN-SURVEY
supplementaldata_10,neuro_epa,,notes,Supplemental Data (JSON),,,,,,,,,,,,, @MC-TASK-SUPPLEMENTALDATA @HIDDEN-SURVEY
serializedresult_10,neuro_epa,,file,Serialized Result,,,,,,,,,,,,, @MC-TASK-SERIALIZEDRESULT @HIDDEN-SURVEY
